"","i1","i2","i3","i4","value"
"3787","DK000000","SHGM","FOTH","Y",8.77476745772388
"38811","DK000000","SHGF","FGRA","Y",3.04366350600399
"3882","DK000000","SHGF","FMAI","Y",2.39144989757524
"3883","DK000000","SHGF","FOFA","Y",1.86519769170416
"3884","DK000000","SHGF","FROO","Y",0.608732701201052
"3885","DK000000","SHGF","FSTR","Y",36.5267807950214
"3886","DK000000","SHGF","FCER","Y",36.3342218000254
"3887","DK000000","SHGF","FPRO","Y",35.8226989684984
"3888","DK000000","SHGF","FENE","Y",8.86368535064052
"3889","DK000000","SHGF","FMIL","Y",0.0714777936629502
"3890","DK000000","SHGF","FOTH","Y",1.19187315515908
"3989","DK000000","HENS","FCER","Y",35404.9065998615
"3990","DK000000","HENS","FPRO","Y",5005.73363065094
"3991","DK000000","HENS","FENE","Y",290.605021952144
"3992","DK000000","HENS","FMIL","Y",27.7304300729128
"3993","DK000000","HENS","FOTH","Y",462.397529235121
"4089","DK000000","POUF","FCER","Y",3632.35611616962
"4090","DK000000","POUF","FPRO","Y",1306.77992310783
"4091","DK000000","POUF","FENE","Y",26.4099031696424
"4092","DK000000","POUF","FMIL","Y",292.270147822437
"4093","DK000000","POUF","FOTH","Y",663.249441903356
"4310","DK000000","DCOW","FGRA","Y",182.347121287583
"4311","DK000000","DCOW","FMAI","Y",2504.91289857994
"4312","DK000000","DCOW","FOFA","Y",12128.4867456969
"4313","DK000000","DCOW","FROO","Y",253.634092503147
"4314","DK000000","DCOW","FSTR","Y",762.783842537062
"4315","DK000000","DCOW","FCER","Y",1813.19476435157
"4316","DK000000","DCOW","FPRO","Y",783.880506105897
"4317","DK000000","DCOW","FENE","Y",44.8765976184428
"4318","DK000000","DCOW","FMIL","Y",4.28226375376737
"4319","DK000000","DCOW","FOTH","Y",304.81528193478
"4408","DK000000","BULF","FGRA","Y",4248.92872741118
"4409","DK000000","BULF","FMAI","Y",2142.67400815991
"4410","DK000000","BULF","FOFA","Y",6592.82891749129
"4411","DK000000","BULF","FROO","Y",622.275351912575
"4412","DK000000","BULF","FCOM","Y",329.177524228993
"4413","DK000000","BULF","FSTR","Y",289.581714883377
"4414","DK000000","BULF","FCER","Y",80.2041890680774
"4415","DK000000","BULF","FPRO","Y",81.6716563581532
"4416","DK000000","BULF","FENE","Y",22.1737965639842
"4417","DK000000","BULF","FMIL","Y",2.11589225450434
"4418","DK000000","BULF","FOTH","Y",35.2819393005434
"4501","DK000000","HEIF","FGRA","Y",15888.2608695588
"4502","DK000000","HEIF","FMAI","Y",1381.70508830312
"4503","DK000000","HEIF","FOFA","Y",79.3950898340758
"4504","DK000000","HEIF","FROO","Y",25.9116702278729
"4505","DK000000","HEIF","FCOM","Y",453.166240868288
"4506","DK000000","HEIF","FSTR","Y",442.539243735363
"4507","DK000000","HEIF","FCER","Y",32.0361940904379
"4508","DK000000","HEIF","FPRO","Y",181.671530531528
"4509","DK000000","HEIF","FENE","Y",31.8850001641496
"4510","DK000000","HEIF","FMIL","Y",3.04256534001845
"4511","DK000000","HEIF","FOTH","Y",50.7339659739043
"29372","DE000000","DCOL","FGRA","Y",8004.58688133491
"29382","DE000000","DCOL","FMAI","Y",9587.22066814192
"29392","DE000000","DCOL","FOFA","Y",4257.87385265207
"29402","DE000000","DCOL","FROO","Y",11.3083323084758
"29411","DE000000","DCOL","FSTR","Y",387.334536176263
"29421","DE000000","DCOL","FPRO","Y",543.374911494929
"29431","DE000000","DCOL","FENE","Y",23.5565172796382
"2944","DE000000","DCOL","FMIL","Y",3.45232166689463
"2945","DE000000","DCOL","FOTH","Y",9.26071214778523
"30472","DE000000","DCOH","FGRA","Y",2818.9410429533
"30481","DE000000","DCOH","FMAI","Y",13933.1622630288
"30491","DE000000","DCOH","FOFA","Y",5146.7988185772
"30501","DE000000","DCOH","FROO","Y",11.1682674424979
"30511","DE000000","DCOH","FSTR","Y",531.611829095704
"30521","DE000000","DCOH","FPRO","Y",1396.77025161576
"30531","DE000000","DCOH","FENE","Y",27.7127445677133
"3054","DE000000","DCOH","FMIL","Y",4.09693752057577
"3055","DE000000","DCOH","FOTH","Y",10.9447243437408
"31571","DE000000","BULL","FGRA","Y",6244.54005323419
"31581","DE000000","BULL","FMAI","Y",1544.92688015688
"3159","DE000000","BULL","FOFA","Y",496.125763441825
"3160","DE000000","BULL","FROO","Y",5.66925855441766
"3161","DE000000","BULL","FCOM","Y",125.098900663118
"3162","DE000000","BULL","FPRO","Y",29.6673379010733
"3163","DE000000","BULL","FENE","Y",8.98709201134394
"3164","DE000000","BULL","FMIL","Y",1.17241932494893
"3165","DE000000","BULL","FOTH","Y",3.25402613129608
"32591","DE000000","BULH","FGRA","Y",7336.06671417827
"32601","DE000000","BULH","FMAI","Y",7005.4884576473
"32611","DE000000","BULH","FOFA","Y",599.80273237531
"3262","DE000000","BULH","FROO","Y",35.2695305559154
"3263","DE000000","BULH","FCOM","Y",226.995062299648
"3264","DE000000","BULH","FPRO","Y",56.238630934998
"3265","DE000000","BULH","FENE","Y",15.411899678828
"3266","DE000000","BULH","FMIL","Y",2.03142174750716
"3267","DE000000","BULH","FOTH","Y",5.63454480600623
"33612","DE000000","HEIL","FGRA","Y",1165.10925509057
"33622","DE000000","HEIL","FMAI","Y",40.3223722279106
"33632","DE000000","HEIL","FOFA","Y",1327.32638556419
